
37/34/85/40/37348540/37348540	Theoretical mechanics.
72/69/82/69/72698269/72698269	The neuroses of the genito-urinary system in the male :

72/69/34/11/72693411/72693411	Contributions to military and state medicine ;

72/69/42/83/72694283/72694283	Biennial report of the Watertown State Hospital, Watertown, Illinois.

72/69/93/08/72699308/72699308	The surgical diseases of the genito-urinary organs /

72/69/21/01/72692101/72692101	Annual meeting of the American Gastro-Enterological Association.

72/69/20/81/72692081/72692081	Annual meeting of the American Gastro-Enterological Association.

72/69/20/98/72692098/72692098	Annual meeting of the American Gastro-Enterological Association.

72/69/86/63/72698663/72698663	Lectures on the rentention of urine, caused by strictures of the urethra, and on the diseases of the prostate.

72/69/97/57/72699757/72699757	On the pathology and treatment of albuminuria /

72/64/61/18/72646118/72646118	Rules and regulations of the Board of visitors of the Government hospital for the insane.

72/64/61/63/72646163/72646163	Report of the Commissioners to construct the Southern Illinois insane asylum.

72/64/17/64/72641764/72641764	Annual report.

72/64/18/39/72641839/72641839	Transactions of the British Congress on Tuberculosis for the Prevention of Consumption.

72/64/18/22/72641822/72641822	Transactions of the British Congress on Tuberculosis for the Prevention of Consumption.

72/64/85/98/72648598/72648598	Publication[s]

72/64/64/47/72646447/72646447	Report on the chronic insane in certain counties, exempted by the State Board of Charities, from the operation of the Willard Asylum Act.

72/64/68/72/72646872/72646872	Annual report ... to the State Commission in Lunacy.

72/64/68/58/72646858/72646858	Annual report.

72/64/24/61/72642461/72642461	The diagnosis of nervous diseases,

72/64/21/56/72642156/72642156	Textbook of nervous diseases ...

72/64/74/42/72647442/72647442	Report ... to the General assembly of Tennessee.

72/64/62/69/72646269/72646269	Memorial soliciting an appropriation for the state hospital for the insane, at Lexington :

72/64/62/52/72646252/72646252	Report of investigation...

72/64/62/14/72646214/72646214	Biennial report.

72/64/62/07/72646207/72646207	Report.

72/64/76/99/72647699/72647699	Biennial report of the State commission in lunacy.

72/64/72/19/72647219/72647219	The insanity law of the state of New York.

72/64/28/72/72642872/72642872	Neurological clinics;

72/64/30/62/72643062/72643062	Injuries of nerves and their treatment /

72/64/73/84/72647384/72647384	Examination and report of the public examiner, E. S. Tyler, on the Dakota Hospital for the Insane at Jamestown.

72/64/73/39/72647339/72647339	Report of counsel before the Committee of the Assembly to the Board of Managers of the State Lunatic Asylum /

72/64/73/22/72647322/72647322	In the matter of the investigation of the New York City Asylum for the Insane.

72/64/71/99/72647199/72647199	A guide to communities in the establishment and operation of psychiatric clinics.

72/68/61/14/72686114/72686114	Annual report.

72/68/69/67/72686967/72686967	Report of the Board of Trustees.

72/68/69/98/72686998/72686998	Report of the Board of Trustees.

72/68/69/50/72686950/72686950	Report of the Board of Trustees.

72/68/70/37/72687037/72687037	Report of the Board of Trustees.

72/68/70/44/72687044/72687044	Report of the Board of Trustees.

72/68/70/20/72687020/72687020	Report of the Board of Trustees.

72/68/70/51/72687051/72687051	Annual report.

72/68/70/06/72687006/72687006	Report of the Board of Trustees.

72/68/71/19/72687119/72687119	Annual report.

72/68/71/02/72687102/72687102	Annual report.

72/68/71/95/72687195/72687195	Report of the Board of Visitors.

72/68/71/26/72687126/72687126	Annual report.

72/68/38/59/72683859/72683859	On aphasia, or loss of speech in cerebral disease.

72/63/35/44/72633544/72633544	Washington on assimilation, consumption, and scrofula.

72/63/69/81/72636981/72636981	Impounding waters and Indian tuberculosis sanitarium.

72/63/85/94/72638594/72638594	Diseases of the nervous system.

72/63/52/08/72635208/72635208	Reports on questions connected with the investigation of non-malarial fevers in West Africa.

72/63/68/09/72636809/72636809	Neurological bulletin.

72/63/68/16/72636816/72636816	Neurological bulletin.

72/63/44/43/72634443/72634443	The cure of consumption with subcutaneous injections of oils /

72/63/78/04/72637804/72637804	Diseases of the nervous system /

72/63/63/78/72636378/72636378	Bulletin ...

72/63/67/96/72636796/72636796	Neurological bulletin.

72/63/40/18/72634018/72634018	Proceedings for the establishment of a free public dispensary and hospital for lung diseases.

72/63/32/15/72633215/72633215	Anuncio prelimiar.

72/63/31/02/72633102/72633102	Constitution and by-laws,

72/62/15/02/72621502/72621502	Report ... on the yellow fever situation during the quarantine in the months of October and November, 1903.

72/62/40/52/72624052/72624052	Banning&apos;s Common sense on chronic diseases.

72/62/40/21/72624021/72624021	The significance of the recent American cases of hookworm disease (Uncinariasis, or Anchylostomiasis) in man.

72/62/40/14/72624014/72624014	Hookworm disease, a story of the hookworm told in pictures.

72/62/01/27/72620127/72620127	An account of the varioloid epidemic, which has lately prevailed in Edinburgh and other parts of Scotland;

72/62/01/10/72620110/72620110	Report of a medical committee on the cases of supposed small-pox after vaccination, which occurred in Fullwood&apos;s Rents, Holborn, in August and September, 1804;

72/62/06/27/72620627/72620627	A complete practical treatise on venereal diseases and their immediate and remote consequences,

72/62/45/69/72624569/72624569	Lectures on tumours,

72/62/03/05/72620305/72620305	Contributions to the study of the cause of typhoid fever;

72/62/03/36/72620336/72620336	Certain conclusions concerning typhoid fever in the South, as deduced from a study of typhoid fever in Richmond, Va. /

72/62/96/91/72629691/72629691	Ionic surgery in the treatment of cancer,

72/62/10/64/72621064/72621064	Atlas of syphilis and the venereal diseases :

72/70/90/69/72709069/72709069	Annual report.

72/70/90/52/72709052/72709052	Annual report.

72/70/90/21/72709021/72709021	Annual report.

72/70/90/76/72709076/72709076	Annual report.

72/70/90/45/72709045/72709045	Annual report.

72/70/90/83/72709083/72709083	Annual report.

72/70/90/38/72709038/72709038	Annual report.

72/70/25/19/72702519/72702519	Tropical diseases;

72/70/82/80/72708280/72708280	Annual report.

72/70/91/27/72709127/72709127	Annual report.

72/70/91/96/72709196/72709196	Annual report.

72/70/91/89/72709189/72709189	Annual report.

72/70/91/58/72709158/72709158	Annual report.

72/70/91/41/72709141/72709141	Annual report.

72/70/91/10/72709110/72709110	Annual report.

72/70/95/69/72709569/72709569	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/95/52/72709552/72709552	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/95/21/72709521/72709521	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/95/76/72709576/72709576	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/95/45/72709545/72709545	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/95/83/72709583/72709583	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/95/07/72709507/72709507	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/92/30/72709230/72709230	Annual report.

72/70/13/98/72701398/72701398	The chlorides in diabetes after pancreatectomy ...

72/70/06/15/72700615/72700615	A treatise on Bright&apos;s disease of the kidneys;

72/70/22/73/72702273/72702273	Review of some of the recent advances in tropical medicine, hygiene and tropical veterinary science,

72/70/94/63/72709463/72709463	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/70/94/70/72709470/72709470	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/94/94/72709494/72709494	Biennial report of the managing officer of the Kankakee State Hospital at Kankakee.

72/70/38/67/72703867/72703867	Get rid of that fat,

72/86/64/72/72866472/72866472	Park Museum bulletin.

72/72/61/37/72726137/72726137	Report.

72/72/61/44/72726144/72726144	Report.

72/72/61/20/72726120/72726120	Report.

72/72/61/13/72726113/72726113	Report.

72/72/42/19/72724219/72724219	Reports.

72/72/42/64/72724264/72724264	Reports.
72/72/42/40/72724240/72724240	Reports.
72/72/42/33/72724233/72724233	Reports.

72/72/62/26/72726226/72726226	Biennial report of the Board of Trustees of the State Psychopathic Hospital at the University of Michigan ...

72/72/72/90/72727290/72727290	Clinical disorders of the heartbeat;

72/72/40/17/72724017/72724017	Reports.
72/72/40/55/72724055/72724055	Reports.
72/72/40/62/72724062/72724062	Reports.
72/72/41/20/72724120/72724120	Reports.
72/72/41/13/72724113/72724113	Reports.
72/66/63/70/72666370/72666370	Feeble-mindedness :

72/66/62/43/72666243/72666243	Mental dificiency (amentia),

72/66/88/63/72668863/72668863	Handbook of mental examination methods /

72/66/92/17/72669217/72669217	Intellectual efficiency in relation to insanity by A.J. Rosanoff ...

72/66/60/58/72666058/72666058	On visceral neuroses.

72/66/54/33/72665433/72665433	Biennial report of the managing officer of the Peoria State Hospital at Peoria, Illinois.

72/66/71/11/72667111/72667111	The psychology of insanity,

72/71/61/26/72716126/72716126	A study of association in insanity.

72/71/52/10/72715210/72715210	Saint Bartholomew&apos;s Hospital reports ...

72/71/62/46/72716246/72716246	Annual report ...

72/71/62/15/72716215/72716215	Annual report ...

72/71/62/39/72716239/72716239	Annual report ...

72/71/62/22/72716222/72716222	Annual report ...

72/71/11/90/72711190/72711190	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/71/12/34/72711234/72711234	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/71/12/27/72711227/72711227	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/71/12/03/72711203/72711203	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/71/12/41/72711241/72711241	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/71/12/10/72711210/72711210	Biennial report of the managing officer of the Chester State Hospital at Chester.

72/71/50/01/72715001/72715001	Saint Bartholomew&apos;s Hospital reports ...

72/71/43/59/72714359/72714359	Transactions of the sixth International congress on tuberculosis. Washington, September 28 to October 5, 1908.

72/94/70/30/72947030/72947030	Report.

15/84/42/65/15844265/15844265	Annual report ...

15/84/42/03/15844203/15844203	Annual report ...

15/84/41/90/15844190/15844190	Annual report ...

15/34/24/31/15342431/15342431	The elements of the true arithmetic of infinites :

15/57/38/07/15573807/15573807	An elementary treatise of the differential and integral calculus /

51/11/32/56/51113256/51113256	An elementary course of infinitesimal calculus.

51/11/32/94/51113294/51113294	A treatise on the differential and integral calculus :

28/91/82/56/28918256/28918256	Elements of differential calculus.

28/78/01/45/28780145/28780145	A new mental arithmetic based on a natural method.

28/78/30/51/28783051/28783051	Arithmetical and geometrical calculations by analytical statement and comparative cancellation,

28/78/03/61/28780361/28780361	Methods in arithmetic,

28/78/29/05/28782905/28782905	The elements of arithmetic in theory and practice,

28/79/97/33/28799733/28799733	A Treatise on the differential calculus and the elements of the integral calculus :

28/79/11/13/28791113/28791113	A monograph on teaching arithmetic,

28/79/45/74/28794574/28794574	Rapid calculation;

28/79/66/87/28796687/28796687	Composite geometrical figures,

28/88/18/69/28881869/28881869	Prairie farmer.
28/88/09/91/28880991/28880991	Prairie farmer.
28/88/65/59/28886559/28886559	Prairie farmer.
28/92/13/99/28921399/28921399	A treatise on algebra

28/66/75/29/28667529/28667529	A short account of the history of mathematics

40/02/68/24/40026824/40026824	Research and development contracts.

40/02/67/59/40026759/40026759	Research and development contracts.

40/88/06/37/40880637/40880637	The slide rule simplified /

40/32/14/86/40321486/40321486	Report of the Secretary of Agriculture.

40/03/11/38/40031138/40031138	Miscellaneous publication /

13/63/90/19/13639019/13639019	The theory of ions :

13/63/50/33/13635033/13635033	A course of elementary instruction in practical biology /

09/19/89/91/2/091989912/091989912	Program of work of the United States Department of Agriculture ...
09/19/89/99/6/091989996/091989996	Annual report,
09/25/15/97/8/092515978/092515978	Tropical diseases :

09/55/18/45/4/095518454/095518454	Results of meteorological observations, made under the direction of the United States Patent Office and the Smithsonian Institution from the year 1854 to 1859, inclusive, being a report of the Commissioner of Patents made at the first session of the Thirty-sixth Congress. vol. I-II: pt.1.

09/55/05/33/8/095505338/095505338	Digest of criticisms on the United States Pharmacopoeia.
09/55/00/05/3/095500053/095500053	The Scottish naturalist.

09/55/00/60/5/095500605/095500605	North American Fauna.

09/55/00/11/8/095500118/095500118	The Scottish naturalist.

09/55/00/04/5/095500045/095500045	The Scottish naturalist.

09/55/00/16/8/095500168/095500168	The Scottish naturalist.

09/55/00/10/0/095500100/095500100	The Scottish naturalist.

09/55/33/12/9/095533129/095533129	Observations on the genus Unio,

09/55/33/06/4/095533064/095533064	Observations on the genus Unio,

09/81/24/41/6/098124416/098124416	Annual report on the Geological Survey of the state of Wisconsin ...

09/81/30/96/2/098130962/098130962	Geological report to the ... General Assembly of the State of Tennessee,

09/81/31/02/3/098131023/098131023	Geological report to the ... General Assembly of the State of Tennessee,

09/68/52/35/6/096852356/096852356	Report.
09/68/52/40/3/096852403/096852403	Report.
09/68/52/30/6/096852306/096852306	Report.
09/68/52/41/1/096852411/096852411	Report.
09/68/52/29/1/096852291/096852291	Report.
09/68/52/33/0/096852330/096852330	Report.
09/68/44/59/9/096844599/096844599	Syllabus ...
09/68/48/91/7/096848917/096848917	Proceedings of the ... annual meeting ...
09/68/48/55/1/096848551/096848551	Agronomy journal.
09/68/48/87/8/096848878/096848878	Proceedings of the ... annual meeting ...
09/68/48/92/5/096848925/096848925	Proceedings of the ... annual meeting ...
09/68/48/57/7/096848577/096848577	Agronomy journal.
09/68/48/60/8/096848608/096848608	Agronomy journal.
09/68/48/56/9/096848569/096848569	Agronomy journal.
09/68/48/59/3/096848593/096848593	Agronomy journal.
09/68/48/58/5/096848585/096848585	Agronomy journal.
09/68/48/53/5/096848535/096848535	Agronomy journal.
09/68/63/00/6/096863006/096863006	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/62/35/1/096862351/096862351	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/62/95/3/096862953/096862953	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/62/98/7/096862987/096862987	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/62/99/5/096862995/096862995	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/62/39/3/096862393/096862393	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/62/96/1/096862961/096862961	Annual report of the Secretary of the Massachusetts State Board of Agriculture ...
09/68/30/84/1/096830841/096830841	Department bulletin /

09/68/30/77/8/096830778/096830778	Department bulletin /

09/68/30/82/5/096830825/096830825	Department bulletin /

09/68/30/69/7/096830697/096830697	Department bulletin /

09/68/30/85/9/096830859/096830859	Department bulletin /

09/68/30/81/7/096830817/096830817	Department bulletin /

09/68/30/78/6/096830786/096830786	Department bulletin /

09/68/30/74/4/096830744/096830744	Department bulletin /

09/68/30/87/5/096830875/096830875	Department bulletin /

09/68/30/79/4/096830794/096830794	Department bulletin /

09/68/30/88/3/096830883/096830883	Department bulletin /

09/68/30/70/2/096830702/096830702	Department bulletin /

09/68/30/76/0/096830760/096830760	Department bulletin /

09/68/30/80/9/096830809/096830809	Department bulletin /

09/68/30/86/7/096830867/096830867	Department bulletin /

09/68/30/72/8/096830728/096830728	Department bulletin /

09/68/30/73/6/096830736/096830736	Department bulletin /

09/68/30/89/1/096830891/096830891	Department bulletin /

09/68/30/83/3/096830833/096830833	Department bulletin /

09/68/30/71/0/096830710/096830710	Department bulletin /

09/68/30/75/2/096830752/096830752	Department bulletin /

09/68/32/50/0/096832500/096832500	Circular ...
09/68/50/48/5/096850485/096850485	Report of work of the Agricultural experiment station of the University of California ...
09/68/50/51/6/096850516/096850516	Report of work of the Agricultural experiment station of the University of California ...
09/68/50/49/3/096850493/096850493	Report of work of the Agricultural experiment station of the University of California ...
09/68/31/35/0/096831350/096831350	Special report.
09/68/31/52/0/096831520/096831520	Fiscal regulations of the U. S. Department of Agriculture.
09/68/31/44/9/096831449/096831449	Miscellaneous special report ...
09/68/31/48/1/096831481/096831481	Special report.
09/68/31/51/2/096831512/096831512	Fiscal regulations of the U. S. Department of Agriculture.
09/68/31/36/8/096831368/096831368	Special report.
09/68/31/43/1/096831431/096831431	Miscellaneous special report ...
09/68/31/38/4/096831384/096831384	Special report.
09/68/31/33/4/096831334/096831334	Monthly reports of the Department of Agriculture.
09/68/31/31/8/096831318/096831318	Monthly reports of the Department of Agriculture.
09/68/31/47/3/096831473/096831473	Miscellaneous special report ...
09/78/85/91/2/097885912/097885912	Journal of the Royal Geological Society of Ireland.

09/78/85/97/0/097885970/097885970	Journal of the Royal Geological Society of Ireland.

09/78/86/34/0/097886340/097886340	Journal of the Royal Geological Society of Ireland.

09/78/86/09/9/097886099/097886099	Journal of the Royal Geological Society of Ireland.

09/78/86/03/1/097886031/097886031	Journal of the Royal Geological Society of Ireland.

09/63/91/68/5/096391685/096391685	The Transvaal agricultural journal.
09/63/93/20/5/096393205/096393205	Department circular.
09/63/93/23/9/096393239/096393239	Department circular.
09/63/93/12/4/096393124/096393124	Report of the Secretary of Agriculture.

09/63/57/15/2/096357152/096357152	Long Island agronomist.
09/63/57/13/6/096357136/096357136	Long Island agronomist.
09/63/57/12/8/096357128/096357128	The Massachusetts agricultural repository and journal.
09/63/60/46/4/096360464/096360464	The Philippine agriculturist.
09/63/59/52/8/096359528/096359528	The Western farmer and gardener :
09/63/58/38/6/096358386/096358386	The Illinois farmer.
09/63/53/08/5/096353085/096353085	Annales du Jardin botanique de Buitenzorg ...

09/63/53/12/4/096353124/096353124	Annales du Jardin botanique de Buitenzorg ...

09/20/17/50/6/092017506/092017506	The American journal of horticulture and florist's companion.
09/74/28/61/3/097428613/097428613	Bulletin.
09/74/28/52/4/097428524/097428524	Bulletin.
09/74/28/63/9/097428639/097428639	Bulletin.
09/74/28/62/1/097428621/097428621	Bulletin.
09/74/28/57/4/097428574/097428574	Bulletin.
09/74/28/56/6/097428566/097428566	Bulletin.
09/74/28/51/6/097428516/097428516	Bulletin.
09/74/28/50/8/097428508/097428508	Bulletin.
09/80/66/04/0/098066040/098066040	Bulletin of the United States Geological Survey.

09/80/66/16/3/098066163/098066163	Bulletin of the United States Geological Survey.

09/80/66/22/8/098066228/098066228	Bulletin of the United States Geological Survey.

09/60/92/89/1/096092891/096092891	The University of Kansas science bulletin.

09/60/76/34/0/096076340/096076340	The modern husbandman.
09/60/76/28/5/096076285/096076285	The modern husbandman.
09/60/76/16/2/096076162/096076162	The modern husbandman.
09/60/76/00/7/096076007/096076007	The book of the farm /
09/60/76/22/7/096076227/096076227	The modern husbandman.
09/60/76/10/4/096076104/096076104	The modern husbandman.
09/60/75/85/7/096075857/096075857	The farmer's guide to scientific and practical agriculture :
09/60/75/93/8/096075938/096075938	The modern husbandman.
09/60/75/73/4/096075734/096075734	Facts for farmers; also for the family circle.
09/60/75/99/6/096075996/096075996	The modern husbandman.
09/60/75/94/6/096075946/096075946	The book of the farm /
09/54/92/13/7/095492137/095492137	N.A.R.D. journal ...
09/54/99/93/5/095499935/095499935	The Scottish naturalist.

09/54/99/92/7/095499927/095499927	The Scottish naturalist.

09/54/99/98/5/095499985/095499985	The Scottish naturalist.

09/54/99/99/3/095499993/095499993	The Scottish naturalist.

09/71/69/55/2/097169552/097169552	Proceedings ...
09/71/69/56/0/097169560/097169560	Proceedings ...
09/71/69/47/1/097169471/097169471	Proceedings ...
09/71/91/99/9/097191999/097191999	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/68/02/7/097168027/097168027	Regular bulletin ...
09/71/68/11/6/097168116/097168116	Regular bulletin ...
09/71/68/01/9/097168019/097168019	Regular bulletin ...
09/71/68/09/3/097168093/097168093	Regular bulletin ...
09/71/68/06/9/097168069/097168069	Regular bulletin ...
09/71/68/03/5/097168035/097168035	Regular bulletin ...
09/71/68/71/8/097168718/097168718	Transactions of the New Hampshire State Agricultural Society, 1850/52-1860, with condensed reports of county societies ...
09/71/68/10/8/097168108/097168108	Regular bulletin ...
09/71/93/35/7/097193357/097193357	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/82/8/097193828/097193828	Biennial report ...
09/71/93/34/9/097193349/097193349	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/81/0/097193810/097193810	Biennial report ...
09/71/93/24/2/097193242/097193242	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/79/7/097193797/097193797	Biennial report ...
09/71/93/27/6/097193276/097193276	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/28/4/097193284/097193284	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/26/8/097193268/097193268	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/32/3/097193323/097193323	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/93/83/6/097193836/097193836	Biennial report ...
09/71/93/49/6/097193496/097193496	Technical bulletin.
09/71/93/31/5/097193315/097193315	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/92/90/3/097192903/097192903	Biennial report ...
09/71/92/91/1/097192911/097192911	Biennial report ...
09/71/92/88/0/097192880/097192880	Biennial report ...
09/71/92/92/9/097192929/097192929	Biennial report ...
09/71/92/00/0/097192000/097192000	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
09/71/70/79/9/097170799/097170799	Bulletin.
09/71/67/99/0/097167990/097167990	Regular bulletin ...
09/75/82/24/7/097582247/097582247	Proceedings of the California Academy of Sciences.

09/75/82/22/1/097582221/097582221	Proceedings of the California Academy of Sciences.

09/75/94/25/2/097594252/097594252	Proceedings of the Indiana Academy of Science.

09/75/94/42/2/097594422/097594422	Proceedings of the Indiana Academy of Science.

09/75/94/28/6/097594286/097594286	Proceedings of the Indiana Academy of Science.

09/75/94/41/4/097594414/097594414	Proceedings of the Indiana Academy of Science.

09/75/94/29/4/097594294/097594294	Proceedings of the Indiana Academy of Science.

09/75/94/33/3/097594333/097594333	Proceedings of the Indiana Academy of Science.

73/37/58/65/73375865/73375865	Proceedings of the Academy of Natural Sciences of Philadelphia.

73/25/04/27/73250427/73250427	The Review of popular astronomy.

73/25/65/47/73256547/73256547	Memoirs of the British Astronomical Association ...

73/25/39/39/73253939/73253939	Papers read before the American Astronomical Society.

73/25/03/69/73250369/73250369	The Review of popular astronomy.

73/25/03/76/73250376/73250376	Journal.

73/25/03/07/73250307/73250307	The Review of popular astronomy.

73/69/62/23/73696223/73696223	Journal of the Elisha Mitchell Scientific Society.

73/69/60/45/73696045/73696045	Journal of the Elisha Mitchell Scientific Society.

73/69/58/62/73695862/73695862	Journal of the Elisha Mitchell Scientific Society.

73/34/02/17/73340217/73340217	American journal of science.

73/34/02/24/73340224/73340224	American journal of science.

73/34/02/48/73340248/73340248	American journal of science.

73/34/02/86/73340286/73340286	American journal of science.

73/34/05/15/73340515/73340515	American journal of science.

73/34/08/13/73340813/73340813	American journal of science.

73/34/08/06/73340806/73340806	American journal of science.

73/34/11/78/73341178/73341178	American journal of science.

73/34/11/16/73341116/73341116	American journal of science.

73/34/04/02/73340402/73340402	American journal of science.

73/34/04/88/73340488/73340488	American journal of science.

73/34/04/57/73340457/73340457	American journal of science.

73/34/04/40/73340440/73340440	American journal of science.

73/34/01/42/73340142/73340142	American journal of science.

73/34/09/95/73340995/73340995	American journal of science.

73/34/09/33/73340933/73340933	American journal of science.

73/34/12/12/73341212/73341212	American journal of science.

73/34/12/36/73341236/73341236	American journal of science.

73/34/00/91/73340091/73340091	American journal of science.

73/34/06/97/73340697/73340697	American journal of science.

73/34/03/20/73340320/73340320	American journal of science.

73/34/03/99/73340399/73340399	American journal of science.

73/34/10/58/73341058/73341058	American journal of science.

73/42/58/44/73425844/73425844	Vick's monthly magazine ...
73/44/12/84/73441284/73441284	Report of the Royal Commission appointed to inquire into the administrative procedures for controlling danger to man through the use as food of the meat and milk of tuberculous animals ...

73/78/94/29/73789429/73789429	Bulletin.

73/78/29/55/73782955/73782955	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
73/78/29/62/73782962/73782962	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
73/78/29/00/73782900/73782900	Annual report of the Agricultural Experiment Station of the University of Wisconsin.
73/24/44/23/73244423/73244423	Results of meridian observations of stars made at the Royal Observatory, Cape of Good Hope ...

73/24/73/22/73247322/73247322	Astronomical observations and researches made at Dunsink, the observatory of Trinity College.

73/23/61/14/73236114/73236114	Annals of the Astronomical Observatory of Harvard College.

73/23/69/29/73236929/73236929	Meteorological observations.

73/23/91/26/73239126/73239126	Astronomical results from observations made at the Royal Observatory, Greenwich, in the year ...

73/23/68/61/73236861/73236861	Meteorological observations.

73/23/88/61/73238861/73238861	Astronomical results from observations made at the Royal Observatory, Greenwich, in the year ...

73/23/88/47/73238847/73238847	Astronomical results from observations made at the Royal Observatory, Greenwich, in the year ...

73/23/86/76/73238676/73238676	Astronomical results from observations made at the Royal Observatory, Greenwich, in the year ...

73/23/86/83/73238683/73238683	Astronomical results from observations made at the Royal Observatory, Greenwich, in the year ...

73/23/56/40/73235640/73235640	Meteorological observations.

73/23/00/01/73230001/73230001	Results of astronomical observations made at the Melbourne Observatory, in ...

73/23/89/12/73238912/73238912	Astronomical results from observations made at the Royal Observatory, Greenwich, in the year ...

73/23/94/24/73239424/73239424	Observations made in astronomy, magnetism and meteorology.

73/74/64/73/73746473/73746473	Bulletin of the Buffalo Society of Natural Sciences.

73/74/63/84/73746384/73746384	Proceedings of the Linnean Society of London.

73/74/63/53/73746353/73746353	Bulletin of the Buffalo Society of Natural Sciences.

73/74/62/33/73746233/73746233	Laboratory bulletin ...

73/74/54/54/73745454/73745454	Zoological series ...

73/74/54/47/73745447/73745447	Zoological series ...

73/70/24/15/73702415/73702415	The Meteorological magazine.

73/70/74/03/73707403/73707403	The Johns Hopkins hospital reports.

73/70/72/01/73707201/73707201	Physical memoirs selected and translated from foreign sources,

73/70/58/83/73705883/73705883	Journal and transactions.

73/70/22/37/73702237/73702237	The Meteorological magazine.

73/70/47/51/73704751/73704751	Report.

73/59/57/18/73595718/73595718	New reduction of Henderson&apos;s catalogue for the epoch, 1840·0.

73/36/63/42/73366342/73366342	Astrographic catalogue 19000̇ Greenwich section Dec. + 64⁰ to 90⁰.

73/36/63/59/73366359/73366359	Astrographic catalogue 19000̇ Greenwich section Dec. + 64⁰ to 90⁰.

73/43/84/49/73438449/73438449	Bulletin of the United States Geological Survey.

73/43/81/27/73438127/73438127	Bulletin of the United States Geological Survey.

73/43/79/44/73437944/73437944	Bulletin of the United States Geological Survey.

73/43/80/07/73438007/73438007	Bulletin of the United States Geological Survey.

73/43/60/52/73436052/73436052	Selections from embryological monographs.

73/43/83/81/73438381/73438381	Bulletin of the United States Geological Survey.

73/43/83/29/73438329/73438329	Bulletin of the United States Geological Survey.

73/22/69/32/73226932/73226932	Astronomical observations made at the University Observatory Oxford,

73/22/24/94/73222494/73222494	Astronomical, magnetic and meteorological observations made at the United States Naval Observatory.

73/22/99/68/73229968/73229968	Results of astronomical observations made at the Melbourne Observatory, in ...

73/22/99/51/73229951/73229951	Results of astronomical observations made at the Melbourne Observatory, in ...

73/22/99/99/73229999/73229999	Results of astronomical observations made at the Melbourne Observatory, in ...

73/22/99/75/73229975/73229975	Results of astronomical observations made at the Melbourne Observatory, in ...

73/75/52/63/73755263/73755263	Monthly meteorological summary with comparative data.

73/75/52/56/73755256/73755256	Monthly meteorological summary with comparative data.

73/75/68/71/73756871/73756871	Annual report.

73/75/97/32/73759732/73759732	National weather and crop bulletin.

73/75/98/52/73759852/73759852	National weather and crop bulletin.

73/75/99/10/73759910/73759910	National weather and crop bulletin.

73/75/53/21/73755321/73755321	Monthly meteorological summary with comparative data.

73/75/53/14/73755314/73755314	Monthly meteorological summary with comparative data.

73/75/53/83/73755383/73755383	Monthly meteorological summary with comparative data.

